SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0.165,3.379996139407961,0.0028563728888215782,0.0005600758133425315,616.5339311644052,0.3453057429501726,0.0030659797217000976,5847.7285468204755,17.929017142558358,3.3423539520272882,0.0016917823103352611,0.00014665221207194675,3202.0045211100005,0.46958104608515605,0.003405397769826907,7333.016002646044,24.97183634151586
0.17,3.387114317332198,0.002849108717844528,0.0005468660662718233,632.8478413765343,0.3460830095622002,0.003041001089568761,5924.073695674196,18.015114563230867,3.348852042202445,0.001685807664527481,0.00014610051074631007,3247.4543808417234,0.4744547436663179,0.0033748580068009414,7447.321526006138,25.13365268126282
0.17500000000000002,3.394285617329287,0.0028418445468674776,0.0005336563192011153,649.969397333247,0.34686027617422777,0.003016022457437425,6001.683422239215,18.101211983903372,3.3553501323776027,0.001679833018719701,0.00014554880942067335,3293.2487950629516,0.47932844124747964,0.0033443182437749757,7563.714687767554,25.295469021009776
0.18,3.401655578651199,0.0028345803758904275,0.0005204465721304072,667.9600969667806,0.34763754278625536,0.0029910438253060883,6080.589408520178,18.187309404575878,3.3618482225527595,0.0016740206362518782,0.000145052789722156,3335.731850098129,0.48385721062178233,0.0033127824670376805,7681.174654035769,25.446060720143915
0.185,3.4090255399731104,0.0028273162049133774,0.0005072368250596992,686.8878444645188,0.34841480939828295,0.0029660651931747517,6160.824403758064,18.273406825248387,3.3683463127279163,0.0016687782974662353,0.0001447266212320895,3369.5890727556716,0.4876692414404978,0.0032797351456963237,7798.384871395396,25.576636942381985
0.19,3.4163955012950225,0.002820052033936327,0.0004940270779889911,706.8278067504874,0.34919207601031055,0.0029410865610434156,6242.422269750351,18.359504245920892,3.374844402903074,0.0016642442319172615,0.00014452678238464244,3405.7243457859104,0.492218381385479,0.003251344822096262,7918.627913186622,25.74618986364625
0.195,3.4237654626169345,0.002813961018207106,0.0004816297534542183,727.470077093357,0.3503712338757947,0.0029109019415474195,6319.503941242912,18.39545629218056,3.3813424930782308,0.001659710166368288,0.00014432694353719538,3441.959686497728,0.4967675213304603,0.0032229544984962,8040.989345956498,25.915742784910513
0.2,3.431135423938847,0.0028082756695972113,0.00047150683901352446,744.5618812347807,0.3510660190709747,0.0028792519221031783,6384.345059509983,18.382137783964048,3.3880672118877606,0.0016551761008193142,0.00014412710468974832,3478.295511136428,0.5013166612754416,0.0031945641748961384,8165.525648587999,26.085295706174776
0.20500000000000002,3.4385053852607586,0.0028026732766727614,0.00046228002603787696,760.4200128170094,0.35152698332476984,0.0028473746228992263,6445.179387279857,18.35184022737385,3.395331021522909,0.0016506420352703406,0.00014392726584230126,3514.7322382590924,0.5058658012204229,0.0031661738512960766,8292.295325694637,26.254848627439042
0.21,3.444848903600496,0.002797070883748312,0.00045305321306222956,776.9240730011495,0.351987947578565,0.0028154973236952743,6507.391257874489,18.32154267078365,3.402870000379319,0.001646107969721367,0.0001437274269948542,3551.2702887506525,0.5104149411654042,0.0031377835276960152,8421.358999263404,26.424401548703308
0.215,3.4507468482706525,0.002791468490823862,0.00044382640008658206,794.114346878879,0.35244891183236016,0.0027836200244913223,6571.027997090223,18.29124511419345,3.4104712877107213,0.0016415739041723935,0.00014352758814740714,3587.9100858400952,0.5149640811103854,0.0031093932040959535,8552.779505318204,26.59395446996757
0.22,3.4566447929408097,0.0027858660978994122,0.0004345995871109346,812.0345406496501,0.35290987608615537,0.0027517427252873703,6636.139123687962,18.260947557603252,3.4180725750421246,0.0016370398386234197,0.00014332774929996008,3624.652055116806,0.5195132210553667,0.0030810028804958917,8686.621995927577,26.763507391231833
0.225,3.462542737610966,0.002780263704974963,0.00042537277413528716,830.73215265903,0.3533708403399505,0.0027198654260834182,6702.776477902815,18.230650001013053,3.425673862373528,0.0016325057730744463,0.00014312791045251302,3661.4966245470446,0.5240623610003481,0.00305261255689583,8822.954046904677,26.933060312496096
0.23,3.4680847639875854,0.0027746613120505133,0.00041614596115963965,850.2588937971469,0.3538318045937457,0.002687988126879466,6770.994359097848,18.200352444422855,3.4332751497049308,0.0016282038812499753,0.00014292799008723577,3699.3610853322944,0.52874224453348,0.0030223128576978573,8954.987568253175,27.06477406805604
0.23500000000000001,3.4735807288310325,0.002769058919126063,0.0004069191481839922,870.6711650918529,0.35429276884754085,0.002656110827675514,6840.849673330128,18.170054887832656,3.4408764370363336,0.0016244324850874562,0.00014265150854360115,3735.756872821895,0.5329113534601693,0.0029834212896402102,9068.4437816409,27.05498824205284
0.24,3.4790766936744797,0.0027634565262016136,0.00039769233520834486,892.0306017853877,0.354753733101336,0.0026242335284715618,6912.402091671939,18.139757331242457,3.448477724367737,0.0016209810757306122,0.00014215105606342233,3762.8136767747956,0.5348879379234263,0.0029295024211246374,9159.140789671148,26.831725118763053
