t_s,phase,P_demand_kW,V_pack,I_pack,SOC_pct,E_consumed_kWh,alt_m,range_km,v_mps,C_rate,E_remaining_kWh
468,Climb,156.8,751.078721710021,-209.066666666667,89.9254181887918,10.7117788326675,782.443946188341,3.85612668161435,34.652466367713,1.49571422881143,94.2713875444467
469,Climb,156.8,751.075394730063,-209.066666666667,89.8838705713248,10.7553969373819,787.569506726457,3.89081838565022,34.7309417040359,1.49571422881143,94.2278319888911
470,Climb,156.8,751.072067750105,-209.066666666667,89.8423229538578,10.7990148488851,792.695067264574,3.92558856502242,34.8094170403587,1.49571422881143,94.1842764333355
471,Climb,156.8,751.068740770147,-209.066666666667,89.8007753363908,10.8426325671769,797.820627802691,3.96043721973094,34.8878923766816,1.49571422881143,94.14072087778
472,Climb,156.8,751.06541379019,-209.066666666667,89.7592277189239,10.8862500922575,802.946188340807,3.99536434977578,34.9663677130045,1.49571422881143,94.0971653222244
473,Climb,156.8,751.062086810232,-209.066666666667,89.7176801014569,10.9298674241268,808.071748878924,4.03036995515695,35.0448430493274,1.49571422881143,94.0536097666689
474,Climb,156.8,751.058759830274,-209.066666666667,89.6761324839899,10.9734845627848,813.19730941704,4.06545403587444,35.1233183856502,1.49571422881143,94.0100542111133
475,Climb,156.8,751.055432850316,-209.066666666667,89.6345848665229,11.0171015082315,818.322869955157,4.10061659192825,35.2017937219731,1.49571422881143,93.9664986555578
476,Climb,156.8,751.0521425069,-209.066666666667,89.5930372490559,11.0607182615307,823.448430493274,4.13585762331839,35.280269058296,1.49571422881143,93.9229431000022
477,Climb,156.8,751.049356563481,-209.066666666667,89.5514896315889,11.1043348383926,828.57399103139,4.17117713004484,35.3587443946188,1.49571422881143,93.8793875444467
478,Climb,156.8,751.046570620063,-209.066666666667,89.509942014122,11.1479512534635,833.699551569507,4.20657511210762,35.4372197309417,1.49571422881143,93.8358319888911
479,Climb,156.8,751.043784676645,-209.066666666667,89.468394396655,11.1915675067432,838.825112107623,4.24205156950673,35.5156950672646,1.49571422881143,93.7922764333355
480,Climb,156.8,751.040998733226,-209.066666666667,89.426846779188,11.2351835982318,843.95067264574,4.27760650224215,35.5941704035874,1.49571422881143,93.74872087778
481,Climb,156.8,751.038212789808,-209.066666666667,89.385299161721,11.2787995279294,849.076233183857,4.3132399103139,35.6726457399103,1.49571422881143,93.7051653222244
482,Climb,156.8,751.03542684639,-209.066666666667,89.343751544254,11.3224152958359,854.201793721973,4.34895179372197,35.7511210762332,1.49571422881143,93.6616097666689
483,Climb,156.8,751.032640902971,-209.066666666667,89.302203926787,11.3660309019512,859.32735426009,4.38474215246637,35.8295964125561,1.49571422881143,93.6180542111133
484,Climb,156.8,751.029854959553,-209.066666666667,89.2606563093201,11.4096463462755,864.452914798206,4.42061098654709,35.9080717488789,1.49571422881143,93.5744986555578
485,Climb,156.8,751.027069016135,-209.066666666667,89.2191086918531,11.4532616288088,869.578475336323,4.45655829596413,35.9865470852018,1.49571422881143,93.5309431000022
