t_s,phase,P_demand_kW,V_pack,I_pack,SOC_pct,E_consumed_kWh,alt_m,range_km,v_mps,C_rate,E_remaining_kWh
1549,Descent,21,750.314875363956,-28,70.0358344353265,31.6924318172782,136.5,49.454875,32.75,0.200318869930102,73.4205681000022
1550,Descent,21,750.299062005077,-28,70.0302700222729,31.6982675381457,135,49.4875,32.5,0.200318869930102,73.4147347666689
1551,Descent,21,750.283248646197,-28,70.0247056092193,31.7041031360205,133.5,49.519875,32.25,0.200318869930102,73.4089014333355
1552,Descent,21,750.267435287318,-28,70.0191411961656,31.7099386109024,132,49.552,32,0.200318869930102,73.4030681000022
1553,Descent,21,750.251621928438,-28,70.013576783112,31.7157739627916,130.5,49.583875,31.75,0.200318869930102,73.3972347666689
1554,Descent,21,750.236994242199,-28,70.0080123700584,31.7216091962989,129,49.6155,31.5,0.200318869930102,73.3914014333355
1555,Descent,21,750.226764354808,-28,70.0024479570048,31.7274443331379,127.5,49.646875,31.25,0.200318869930102,73.3855681000022
1556,Descent,21,750.216534467416,-28,69.9968835439512,31.7332793904111,126,49.678,31,0.200318869930102,73.3797347666689
1557,Descent,21,750.206304580024,-28,69.9913191308976,31.7391143681185,124.5,49.708875,30.75,0.200318869930102,73.3739014333355
1558,Descent,21,750.196074692632,-28,69.985754717844,31.7449492662602,123,49.7395,30.5,0.200318869930102,73.3680681000022
1559,Descent,21,750.185844805241,-28,69.9801903047903,31.750784084836,121.5,49.769875,30.25,0.200318869930102,73.3622347666689
1560,Descent,21,750.175614917849,-28,69.9746258917367,31.756618823846,120,49.8,30,0.200318869930102,73.3564014333355
1561,Descent,21,750.165385030457,-28,69.9690614786831,31.7624534832903,118.5,49.829875,29.75,0.200318869930102,73.3505681000022
1562,Descent,21,750.155155143065,-28,69.9634970656295,31.7682880631687,117,49.8595,29.5,0.200318869930102,73.3447347666689
1563,Descent,21,750.144925255674,-28,69.9579326525759,31.7741225634814,115.5,49.888875,29.25,0.200318869930102,73.3389014333356
1564,Descent,21,750.134929755384,-28,69.9523682395223,31.7799569851397,114,49.918,29,0.200318869930102,73.3330681000022
1565,Descent,21,750.125803624337,-28,69.9468038264687,31.7857913324362,112.5,49.946875,28.75,0.200318869930102,73.3272347666689
1566,Descent,21,750.11667749329,-28,69.9412394134151,31.7916256087517,111,49.9755,28.5,0.200318869930102,73.3214014333355
1567,Descent,21,750.107551362243,-28,69.9356750003614,31.7974598140861,109.5,50.003875,28.25,0.200318869930102,73.3155681000022
1568,Descent,21,750.098425231196,-28,69.9301105873078,31.8032939484395,108,50.032,28,0.200318869930102,73.3097347666689
1569,Descent,21,750.08929910015,-28,69.9245461742542,31.8091280118119,106.5,50.059875,27.75,0.200318869930102,73.3039014333355
1570,Descent,21,750.080172969103,-28,69.9189817612006,31.8149620042033,105,50.0875,27.5,0.200318869930102,73.2980681000022
1571,Descent,21,750.071046838056,-28,69.913417348147,31.8207959256137,103.5,50.114875,27.25,0.200318869930102,73.2922347666689
1572,Descent,21,750.061920707009,-28,69.9078529350934,31.826629776043,102,50.142,27,0.200318869930102,73.2864014333355
