SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_25C,R0_ohm_25C,R1_ohm_25C,C1_F_25C,tau1_s_25C,R2_ohm_25C,C2_F_25C,tau2_s_25C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0.615,3.86267444795619,0.00287949937536099,0.000389976427348657,1052.34115194812,0.410388242788698,0.00128686653686335,8433.45482691661,10.8527308069077,3.86259338671617,0.00202197420840481,0.000215778738438321,2990.86719960991,0.645365551168383,0.00104401428101001,11393.8814167002,11.8953749151695,3.86498592381969,0.00166917858516497,0.000165107002367244,2762.26797239341,0.456069784656921,0.000961626821217573,15866.648673601,15.257794927371
0.62,3.86566694621431,0.00287825626616064,0.000392042139919822,1041.71856670513,0.408397576085289,0.00127922227708767,8427.64192259963,10.7808272907074,3.8656285214008,0.0020222665424141,0.000215586195075672,2994.05614168409,0.645477171428619,0.00103151334225695,11425.935276545,11.7860046855206,3.86821986044035,0.00166932504389125,0.000165299363389701,2753.74636455911,0.455192520998324,0.000967369177546972,16003.1458931032,15.4809500807754
0.625,3.86865944447243,0.00287701315696028,0.000394107852490988,1031.20733782175,0.406406909381881,0.001271578017312,8421.75912819327,10.7089237745072,3.86866365608543,0.00202262050538749,0.000215494891799956,2993.77178162799,0.645142526155685,0.00102193759688209,11424.0947972341,11.6747119836387,3.87145379706101,0.00166947150261752,0.000165491724412158,2745.24456708332,0.454315257339727,0.00097311153387637,16138.0321653602,15.7041052341799
0.63,3.87165194273055,0.00287577004775993,0.000396173565062154,1020.80572340819,0.404416242678472,0.00126393375753633,8415.80517561365,10.637020258307,3.87169879077005,0.00202304775764561,0.000215523983433775,2989.35260369858,0.644277181037244,0.00101584049719798,11380.8546773868,11.5611330740145,3.87468773368167,0.00166961796134379,0.000165684085434616,2736.76251096592,0.453437993681131,0.000978853890205769,16271.3358417937,15.9272603875843
0.635,3.87464444098867,0.00287452693855958,0.00039823927763332,1010.51201771614,0.402425575975063,0.00125628949776066,8409.77876591281,10.5651167421068,3.87473392545468,0.00202347500990373,0.000215553075067594,2984.9346186179,0.643411835918803,0.00100974339751386,11337.0923668093,11.4475541643904,3.87792167030233,0.00166976201367857,0.000165896437926194,2727.05713489038,0.452409064699528,0.000967608446270653,16204.9743136118,15.6800700174498
0.64,3.87779946618458,0.00287328382935922,0.000400304990204485,1000.32455020634,0.400434909271654,0.00124864523798498,8403.67856833393,10.4932132259066,3.87776906013931,0.00202390226216185,0.000215582166701412,2980.51782590305,0.642546490800362,0.00100364629782974,11292.7983486559,11.3339752547663,3.88115560692299,0.00166990561367529,0.000166112548286158,2717.14347469944,0.451351626641429,0.000953169744393433,16098.3572937459,15.344467106834
0.645,3.88137308377737,0.00287204072015887,0.000402370702775651,990.241684644732,0.398444242568246,0.00124100097820931,8397.50321933166,10.4213097097064,3.88080419482393,0.00202432951441998,0.000215611258335231,2976.10222507137,0.641681145681921,0.000997549198145619,11247.9628734103,11.2203963451422,3.88438954354365,0.00167004921367201,0.000166328658646121,2707.25557609029,0.45029418858333,0.000938731042516212,15988.4605030082,15.0088641962182
0.65,3.88494670137016,0.00287079761095851,0.000404436415346817,980.261818226397,0.396453575864837,0.00123335671843364,8391.25132155599,10.3494061935062,3.88394314137624,0.0020247567666781,0.00021564034996905,2971.6878156405,0.64081580056348,0.0009914520984615,11202.575951731,11.1068174355181,3.88762348016431,0.00167019281366873,0.000166544769006084,2697.39333877739,0.449236750525231,0.000924292340638992,15875.1302379702,14.6732612856024
0.655,3.88852031896295,0.00286955450175816,0.000406502127917983,970.383380726155,0.394462909161428,0.00122571245865796,8384.92144279815,10.277502677306,3.88790682189116,0.00202518401893622,0.000215669441602869,2967.2745971283,0.639950455445039,0.000985354998777381,11156.6273470315,10.9932385258939,3.89124557190644,0.00167033641366545,0.000166760879366048,2687.55666299503,0.448179312467133,0.000909853638761772,15758.2030385665,14.3376583749865
0.66,3.89209393655574,0.00286831139255781,0.000408567840489149,960.604833674968,0.39247224245802,0.00121806819888229,8378.5121148968,10.2055991611058,3.89187050240608,0.00202561127119434,0.000215698533236688,2962.86256905291,0.639085110326598,0.000979257899093262,11110.1065677834,10.8796596162698,3.89528550283378,0.00167048001366216,0.000166976989726011,2677.745449494,0.447121874409034,0.000895414936884551,15637.5049014579,14.0020554643708
