SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_25C,R0_ohm_25C,R1_ohm_25C,C1_F_25C,tau1_s_25C,R2_ohm_25C,C2_F_25C,tau2_s_25C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0.295,3.5830229302688,0.00268653171176915,0.000331136202828067,1074.22678679613,0.355715379155867,0.00243286254966174,7608.8912006729,18.5113864465679,3.56659388070077,0.00185577269762218,0.000161237167779975,3660.30325241864,0.590176929635812,0.00218842248305693,8705.29186778565,19.0508564450348,3.55268087563219,0.00158552688861165,0.000138288188331451,4035.45135278291,0.558055256676052,0.00218600328195084,10198.969365607,22.294980505733
0.3,3.58812672467223,0.00268582743688423,0.000328001039013316,1087.52580181484,0.356709592949058,0.00240924284234342,7636.42391700086,18.3979996631344,3.57143616705772,0.00185292770023492,0.000160386888485326,3694.23989838026,0.592507642619557,0.00215113585329246,8756.65402558973,18.8367524293238,3.55749848191092,0.00158365065900096,0.000137784686000824,4030.50752680869,0.555342214005291,0.00214211747327979,10261.7390277656,21.9818504776138
0.305,3.59323051907566,0.00268512316199931,0.000324865875198565,1101.08150486293,0.357703806742249,0.0023856231350251,7664.50182816014,18.284612879701,3.57686520682351,0.00185008270284766,0.000159536609190677,3728.53828736172,0.594838355603303,0.00211384922352799,8809.82815913988,18.6226484136128,3.56289841933688,0.00158177442939028,0.000137281183670196,4025.52743617191,0.552629171334529,0.00209823166460875,10327.134422278,21.6687204494947
0.31,3.59833387055422,0.00268441888711439,0.000321730711383814,1114.90139997088,0.358698020535441,0.00236200342770677,7693.14128976927,18.1712260962675,3.58235640450996,0.0018472377054604,0.000158686329896028,3763.20423427976,0.597169068587048,0.00207656259376351,8864.91187561009,18.4085443979019,3.56829835676285,0.00157989819977959,0.000136777681339568,4020.51068038308,0.549916128663768,0.00205434585593771,10395.3238251734,21.3555904213755
0.315,3.60342801720945,0.00268371461222947,0.000318595547569063,1128.9932865451,0.359692234328632,0.00233838372038845,7722.35931827062,18.0578393128341,3.58784760219642,0.00184439270807313,0.00015783605060138,3798.2436793534,0.599499781570794,0.00203927596399904,8922.00992086985,18.1944403821909,3.57369829418881,0.0015780219701689,0.000136274179008941,4015.45685303381,0.547203085993006,0.00201046004726666,10466.4902054954,21.0424603932563
0.32,3.60852216386468,0.00268301033734455,0.000315460383754312,1143.36527404574,0.360686448121823,0.00231476401307012,7752.17362464542,17.9444525294006,3.59333879988288,0.00184601002793308,0.000156472846841875,3816.14090009234,0.597122430587166,0.00198909379484146,8926.14163370983,17.7549329354882,3.57909823161477,0.00157614574055821,0.000135770676678313,4010.36554168709,0.544490043322245,0.00196657423859562,10540.8328647387,20.7293303651372
0.325,3.6136163105199,0.00268230606245963,0.000312325219939562,1158.02579754848,0.361680661915014,0.0022911443057518,7782.6026502142,17.8310657459671,3.59882999756933,0.00184985922472613,0.00015485309828331,3825.49846479751,0.59239028975194,0.00193246178016261,8901.95483614283,17.2026874895797,3.58449816904074,0.00157426951094752,0.000135267174347685,4005.23632776509,0.541777000651483,0.00192268842992457,10618.5693008091,20.416200337018
0.33,3.61871045717513,0.00268160178757471,0.000309190056124811,1172.98363425312,0.362674875708206,0.00226752459843348,7813.6656046748,17.7176789625337,3.60432119525579,0.00185370842151918,0.000153233349724744,3835.05385722061,0.587658148916714,0.00187582976548376,8876.3076213247,16.6504420436712,3.5898981064667,0.00157369628172133,0.000134671664911507,3987.10734618337,0.536950384491417,0.00186124092435982,10647.9041691024,19.818314998195
0.335,3.62380460383035,0.00268089751268979,0.00030605489231006,1188.24792100683,0.363669089501397,0.00224390489111515,7845.38250654262,17.6042921791002,3.60981239294224,0.00185755761831223,0.000151613601166178,3844.81341777881,0.582926008081488,0.00181919775080491,8849.06359995224,16.0981965977627,3.59529804389267,0.00157441532675845,0.000133984905759703,3955.87540615105,0.530027593490275,0.0017823762873911,10625.1516862388,18.9380184154856
0.34,3.62889875048558,0.00268019323780487,0.000302919728495309,1203.82817291557,0.364663303294588,0.00222028518379683,7877.77422617226,17.4909053956668,3.6153035906287,0.00186140681510527,0.000149993852607613,3854.78376076405,0.578193867246261,0.00176256573612606,8820.06885372833,15.5459511518542,3.60069798131863,0.00157513437179558,0.000133298146607899,3924.32164888133,0.523104802489134,0.00170351165042238,10600.2925358913,18.0577218327762
