SOC,OCVchg_V_15C,OCVdis_V_15C,OCVavg_V_15C,OCVchg_V_25C,OCVdis_V_25C,OCVavg_V_25C,OCVchg_V_45C,OCVdis_V_45C,OCVavg_V_45C
0.615,3.87770995202201,3.86267444795619,3.8701921999891,3.87491308239157,3.86259338671617,3.86875323455387,3.87698254010527,3.86498592381969,3.87098423196248
0.62,3.88101338143679,3.86566694621431,3.87334016382555,3.87815795917073,3.8656285214008,3.87189324028577,3.88011574669486,3.86821986044035,3.8741678035676
0.625,3.88442237075005,3.86865944447243,3.87654090761124,3.8814028359499,3.86866365608543,3.87503324601766,3.88324895328444,3.87145379706101,3.87735137517272
0.63,3.88783136006331,3.87165194273055,3.87974165139693,3.88464771272907,3.87169879077005,3.87817325174956,3.88638215987403,3.87468773368167,3.88053494677785
0.635,3.89124034937657,3.87464444098867,3.88294239518262,3.88789258950823,3.87473392545468,3.88131325748146,3.88951536646361,3.87792167030233,3.88371851838297
0.64,3.89464933868983,3.87779946618458,3.8862244024372,3.8911374662874,3.87776906013931,3.88445326321335,3.8926485730532,3.88115560692299,3.88690208998809
0.645,3.89805832800309,3.88137308377737,3.88971570589023,3.89438234306656,3.88080419482393,3.88759326894525,3.89578177964279,3.88438954354365,3.89008566159322
0.65,3.90146731731634,3.88494670137016,3.89320700934325,3.89762721984573,3.88394314137624,3.89078518061098,3.89990378489042,3.88762348016431,3.89376363252736
0.655,3.9048763066296,3.88852031896295,3.89669831279628,3.90176630707271,3.88790682189116,3.89483656448194,3.90406456183436,3.89124557190644,3.8976550668704
0.66,3.90828529594286,3.89209393655574,3.9001896162493,3.90613929182796,3.89187050240608,3.89900489711702,3.9082253387783,3.89528550283378,3.90175542080604
0.665,3.91169428525612,3.89566755414853,3.90368091970233,3.91051227658322,3.895834182921,3.90317322975211,3.91238611572224,3.89932543376112,3.90585577474168
0.67,3.91510327456938,3.89924117174132,3.90717222315535,3.91488526133847,3.89979786343591,3.90734156238719,3.91654689266618,3.90336536468847,3.90995612867732
0.675,3.92084246821144,3.90281478933411,3.91182862877278,3.91925824609372,3.90376154395083,3.91150989502228,3.92070766961012,3.90740529561581,3.91405648261296
0.68,3.9272923607456,3.9063884069269,3.91684038383625,3.92363123084897,3.90772522446575,3.91567822765736,3.92486844655406,3.91144522654315,3.9181568365486
0.685,3.93374225327976,3.90996202451969,3.92185213889973,3.92800421560423,3.91168890498067,3.91984656029245,3.92902922349799,3.9154851574705,3.92225719048425
0.69,3.94019214581392,3.91353564211248,3.9268638939632,3.93237720035948,3.91565258549559,3.92401489292753,3.93319000044193,3.91952508839784,3.92635754441989
0.695,3.94664203834808,3.91984409931389,3.93324306883098,3.93675018511473,3.91961626601051,3.92818322556262,3.93743985586766,3.92356501932519,3.93050243759642
0.7,3.95309193088224,3.92628440110902,3.93968816599563,3.94112316986998,3.92391777917004,3.93252047452001,3.94405879781473,3.92760495025253,3.93583187403363
0.705,3.9595418234164,3.93272470290416,3.94613326316028,3.94853565474091,3.93140579950956,3.93997072712524,3.9506777397618,3.93304443957222,3.94186108966701
0.71,3.96599171595056,3.93916500469929,3.95257836032493,3.95682238581699,3.93889381984908,3.94785810283303,3.95729668170887,3.93960304243845,3.94844986207366
0.715,3.97244160848472,3.94560530649443,3.95902345748958,3.96510911689306,3.9463818401886,3.95574547854083,3.96391562365595,3.94616164530467,3.95503863448031
0.72,3.97889150101888,3.95204560828956,3.96546855465422,3.97339584796913,3.95386986052812,3.96363285424862,3.97053456560302,3.95272024817089,3.96162740688696
0.725,3.98557604265324,3.9584859100847,3.97203097636897,3.9816825790452,3.96135788086764,3.97152022995642,3.97715350755009,3.95927885103712,3.9682161792936
0.73,3.99255858279542,3.96492621187984,3.97874239733763,3.98996931012128,3.96884590120716,3.97940760566422,3.98377244949716,3.96583745390334,3.97480495170025
0.735,3.9995411229376,3.97136651367497,3.98545381830629,3.99825604119735,3.97633392154668,3.98729498137201,3.99039139144424,3.97239605676957,3.9813937241069
0.74,4.00652366307978,3.97780681547011,3.99216523927495,4.00654277227342,3.9838219418862,3.99518235707981,3.99701033339131,3.97895465963579,3.98798249651355
0.745,4.01350620322197,3.98500172875432,3.99925396598814,4.01482950334949,3.99130996222572,4.0030697327876,4.00364260303441,3.98551326250202,3.99457793276821
0.75,4.02048874336415,3.9926428669496,4.00656580515687,4.02311623442557,3.9987286124448,4.01092242343518,4.01038250786293,3.99207186536824,4.00122718661559
0.755,4.02747128350633,4.00028400514488,4.0138776443256,4.02860082223131,4.00534797054731,4.01697439638931,4.01712241269146,3.99913166393762,4.00812703831454
0.76,4.03445382364851,4.00792514334016,4.02118948349433,4.03320347670697,4.01196732864982,4.0225854026784,4.02386231751999,4.00648609511886,4.01517420631943
0.765,4.04143636379069,4.01556628153543,4.02850132266306,4.03780613118263,4.01858668675234,4.02819640896748,4.03060222234851,4.0138405263001,4.02222137432431
0.77,4.04841890393288,4.02320741973071,4.03581316183179,4.04240878565828,4.02520604485485,4.03380741525657,4.03734212717704,4.02119495748134,4.02926854232919
0.775,4.05485788744209,4.03084855792599,4.04285322268404,4.04701144013394,4.03182540295736,4.03941842154565,4.04408203200557,4.02854938866258,4.03631571033408
0.78,4.057104718472,4.03848969612126,4.04779720729663,4.0516140946096,4.03844476105988,4.04502942783474,4.05082193683409,4.03590381984382,4.04336287833896
0.785,4.05935154950191,4.04613083431654,4.05274119190922,4.05621674908525,4.04506411916239,4.05064043412382,4.05756184166262,4.04325825102506,4.05041004634384
0.79,4.06159838053182,4.05377197251182,4.05768517652182,4.06081940356091,4.05168347726491,4.05625144041291,4.06430174649115,4.0506126822063,4.05745721434873
0.795,4.06384521156172,4.05957200433107,4.0617086079464,4.06542205803657,4.05830283536742,4.06186244670199,4.07002457243083,4.05796711338755,4.06399584290919
0.8,4.06609204259163,4.06113122512904,4.06361163386033,4.07002471251223,4.06457832641375,4.06730151946299,4.07124359164093,4.06532154456879,4.06828256810486
0.805,4.06833887362154,4.062690445927,4.06551465977427,4.07193603547539,4.06580636668067,4.06887120107803,4.07246261085103,4.06829413079168,4.07037837082135
0.81,4.07058570465145,4.06424966672497,4.06741768568821,4.07292446682429,4.06703440694759,4.06997943688594,4.07368163006113,4.06942249393292,4.07155206199702
0.815,4.07283253568135,4.06580888752293,4.06932071160214,4.0739128981732,4.06826244721451,4.07108767269385,4.07490064927122,4.07055085707416,4.07272575317269
0.82,4.07507936671126,4.0673681083209,4.07122373751608,4.0749013295221,4.06949048748142,4.07219590850176,4.07611966848132,4.07167922021541,4.07389944434836
0.825,4.07732619774117,4.06892732911886,4.07312676343002,4.07588976087101,4.07071852774834,4.07330414430968,4.07733868769142,4.07280758335665,4.07507313552403
0.83,4.07823562124429,4.07048654991683,4.07436108558056,4.07687819221992,4.07194656801526,4.07441238011759,4.07855770690152,4.07393594649789,4.0762468266997
0.835,4.07878765251695,4.07204577071479,4.07541671161587,4.07786662356882,4.07317460828218,4.0755206159255,4.07977672611162,4.07506430963913,4.07742051787537
0.84,4.07933968378961,4.07360499151276,4.07647233765118,4.07885505491773,4.0744026485491,4.07662885173341,4.08099574532171,4.07619267278038,4.07859420905105
0.845,4.07989171506227,4.07516421231072,4.0775279636865,4.07984348626663,4.07563068881601,4.07773708754132,4.08206128606956,4.07732103592162,4.07969116099559
0.85,4.08044374633493,4.07572988247499,4.07808681440496,4.08083191761554,4.07683055861495,4.07883123811525,4.08268591431461,4.07844939906286,4.08056765668874
0.855,4.08099577760759,4.07627221267037,4.07863399513898,4.08157294950145,4.07746954713291,4.07952124831718,4.08331054255966,4.07920940559468,4.08125997407717
0.86,4.08154780888025,4.07681454286575,4.079181175873,4.08222191012575,4.07810853565086,4.08016522288831,4.08393517080471,4.07986424638675,4.08189970859573
0.865,4.08209984015291,4.07735687306113,4.07972835660702,4.08287087075005,4.07874752416881,4.08080919745943,4.08455979904977,4.08051908717882,4.08253944311429
0.87,4.08265187142558,4.07789920325651,4.08027553734104,4.08351983137436,4.07938651268677,4.08145317203056,4.08518442729482,4.08117392797089,4.08317917763285
0.875,4.08320390269824,4.07844153345189,4.08082271807506,4.08416879199866,4.08002550120472,4.08209714660169,4.08580905553987,4.08182876876296,4.08381891215141
