SOCbp,OCV_V_15C,R0_ohm_15C,R1_ohm_15C,C1_F_15C,tau1_s_15C,R2_ohm_15C,C2_F_15C,tau2_s_15C,OCV_V_45C,R0_ohm_45C,R1_ohm_45C,C1_F_45C,tau1_s_45C,R2_ohm_45C,C2_F_45C,tau2_s_45C
0.11,3.379732831044892,0.0029265399026348576,0.0007028863098754224,458.4592489989738,0.32224472975714613,0.0032626130116451433,5370.084966312447,17.52050908473096,3.336094793644934,0.001762014202145817,0.00016621211832314775,2863.41931128095,0.47593498937541545,0.003521714148931962,6250.4182148256095,22.012186263893405
0.115,3.3852433520785454,0.0029201647327819907,0.000681786840046085,475.59797862554217,0.32425644297941386,0.003235961512359421,5433.518601067138,17.58265706974226,3.3419581967582013,0.001754091194814998,0.0001635254491271026,2915.003796354208,0.476677305006031,0.003482859355445426,6366.943627199494,22.175169177585392
0.12,3.3907538731121982,0.0029137895629291243,0.0006606873702167476,493.8313806341489,0.32626815620168154,0.003209310013073698,5498.0057965339265,17.64480505475356,3.347821599871468,0.001746168187484179,0.00016083877993105746,2968.3116275893753,0.47741962063664656,0.00344400456195889,6486.098287445887,22.33815209127738
0.125,3.3962643941458515,0.0029074143930762574,0.0006395879003874103,513.2677920034198,0.32827986942394927,0.003182658513787975,5563.5730201824845,17.706953039764862,3.3536850029847356,0.0017382451801533601,0.0001581521107350123,3023.4306329836722,0.47816193626726206,0.0034051497684723544,6607.97219943251,22.501135004969367
0.13,3.4017749151795043,0.0029010392232233905,0.0006184884305580729,534.0303331918257,0.330291582646217,0.0031560070145022524,5630.247633520738,17.76910102477616,3.3595484060980025,0.0017307424497459306,0.0001558582051127181,3077.5301229552783,0.47965832114413237,0.003368856619735469,6726.670911132372,22.66118982775031
0.135,3.407285436213157,0.002894664053370524,0.0005973889607287354,556.2595188620807,0.3323032958684847,0.0031293555152165295,5698.057930165746,17.83124900978746,3.36541180921127,0.0017248371916491012,0.00015505719357706475,3121.5638021442746,0.48402092273224306,0.00334230028101461,6824.675541113058,22.810114978895708
0.14,3.4127959572468103,0.002888024396359542,0.0005780428707622134,577.8039907961589,0.3339954775776752,0.003105068368109514,5766.161942478352,17.904327052986442,3.371275212324537,0.0017189319335522719,0.0001542561820414114,3166.054791821847,0.4883835243203537,0.0033157439422937507,6924.250041503086,22.95904013004111
0.145,3.418306478280463,0.0028801398206712643,0.0005669497914717816,589.4413517995259,0.33418365148758633,0.003091910026680453,5830.975610481823,18.028851955377924,3.3771386154378042,0.0017130266754554428,0.00015345517050575802,3211.0102532516185,0.49274612590846434,0.0032891876035728916,7025.4324368988255,23.10796528118651
0.15,3.423816999314116,0.002872255244982987,0.0005558567121813498,601.5432000187985,0.33437182539749744,0.0030787516852513915,5896.343295476626,18.153376857769405,3.3829863437559022,0.0017071214173586134,0.00015265415897010466,3256.437498004409,0.497108727496575,0.0032626312648520324,7128.261989908522,23.256890432331907
0.155,3.429364272747026,0.0028643706692947093,0.0005447636328909179,614.1379106604203,0.33455999930740854,0.0030655933438223297,5962.272131427294,18.277901760160887,3.3887791582875257,0.001701216159261784,0.0001518531474344513,3302.3439919225248,0.5014713290846856,0.0032360749261311733,7232.77925195004,23.40581558347731
0.16,3.4364629706691985,0.0028564860936064317,0.0005336705536004861,627.2562182022081,0.33474817321731964,0.0030524350023932684,6028.769375309846,18.402426662552372,3.394571972819149,0.0016953109011649547,0.00015105213589879793,3348.73735921017,0.5058339306727963,0.003209518587410314,7339.026116570485,23.55474073462271
0.165,3.4435616685913706,0.002848601517918154,0.0005225774743100542,640.9314668020062,0.33493634712723075,0.003039276660964207,6095.842409774634,18.526951564943854,3.4003647873507723,0.0016894056430681256,0.00015025112436314457,3395.6253866547045,0.5101965322609069,0.003182962248689455,7447.0458754349975,23.70366588576811
0.17,3.450660366513543,0.0028407169422298762,0.0005114843950196224,655.1998932915349,0.33512452103714185,0.0030261183195351457,6163.498745878669,18.651476467335335,3.4061576018823954,0.0016835003849712963,0.00014945011282749122,3443.016027983653,0.5145591338490176,0.003156405909968596,7556.883277141889,23.85259103691351
0.17500000000000002,3.4577590644357157,0.0028328323665415987,0.0005003913157291905,670.1009478120574,0.335312694947053,0.0030129599781060844,6231.746025889537,18.776001369726817,3.411950416414019,0.001677595126874467,0.00014864910129183784,3490.917408362574,0.5189217354371283,0.0031298495712477367,7668.584589032032,24.001516188058908
